epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,1.787550094,33.782,1.473076589,46.07,908.6904297
1,1.470285732,46.454,1.294545447,52.87,908.6904297
2,1.342992587,51.2,1.187102348,57.17,908.6904297
3,1.264849846,54.23,1.137184409,58.97,908.6904297
4,1.213293015,56.192,1.106784695,60.13,908.6904297
5,1.167821448,58.096,1.064132563,62.21,908.6904297
6,1.12297814,59.76,1.038041298,62.71,908.6904297
7,1.094987335,60.612,0.993673326,64.77,908.6904297
8,1.06131844,62.002,0.985251195,65.13,908.6904297
9,1.0335753,62.906,0.940438423,66.7,908.6904297
10,1.005504313,63.862,0.924368011,66.92,908.6904297
11,0.984080973,64.86,0.943296072,67.22,908.6904297
12,0.959236919,65.676,0.894679806,68.08,908.6904297
13,0.935551908,66.45,0.89236234,68.15,908.6904297
14,0.92048932,67.074,0.869601705,68.76,908.6904297
15,0.899157362,67.856,0.868470545,69.78,908.6904297
16,0.878479528,68.668,0.842780898,70.45,908.6904297
17,0.865137904,69.248,0.813706549,71.55,908.6904297
18,0.845385116,69.7,0.824324387,71.61,908.6904297
19,0.827359159,70.434,0.768370799,73.21,908.6904297
20,0.812977967,70.982,0.779493556,72.9,908.6904297
21,0.800257024,71.76,0.767081676,73.33,908.6904297
22,0.78461572,72.058,0.765066977,73.26,908.6904297
23,0.771684471,72.64,0.715817012,75.19,908.6904297
24,0.761497234,73.09,0.778858396,72.97,908.6904297
25,0.750009488,73.624,0.738128417,74.16,908.6904297
26,0.73331407,73.976,0.708648148,75.57,908.6904297
27,0.7214596,74.288,0.717653718,75.43,908.6904297
28,0.706935531,74.952,0.665883802,76.76,908.6904297
29,0.705832865,75.042,0.682833987,76.44,908.6904297
30,0.689873481,75.598,0.673614956,76.69,908.6904297
31,0.678864044,75.764,0.686900785,76.67,908.6904297
32,0.66551247,76.364,0.68269781,77.17,908.6904297
33,0.664096231,76.47,0.682940317,77.1,908.6904297
34,0.644088321,77.162,0.740108954,75.36,908.6904297
35,0.636369205,77.458,0.647118969,78.05,908.6904297
36,0.623404164,77.8,0.639134429,78.54,908.6904297
37,0.61599545,78.076,0.633226573,78.81,908.6904297
38,0.607352647,78.432,0.606508468,79.72,908.6904297
39,0.59597205,78.936,0.599377081,79.68,908.6904297
40,0.587773582,79.228,0.602129429,80.15,908.6904297
41,0.579992203,79.488,0.58548781,80.26,908.6904297
42,0.571347854,79.58,0.656679637,78.28,908.6904297
43,0.564268547,80.118,0.602522538,79.94,908.6904297
44,0.55440298,80.492,0.582000035,80.93,908.6904297
45,0.544246502,80.746,0.582724942,81.11,908.6904297
46,0.538491444,80.926,0.579843447,80.56,908.6904297
47,0.529307775,81.096,0.553715034,81.88,908.6904297
48,0.518275915,81.72,0.57327259,81,908.6904297
49,0.514878032,81.796,0.559920468,81.17,908.6904297
50,0.507210977,81.978,0.586960848,81.24,908.6904297
51,0.500250557,82.274,0.544138873,81.96,908.6904297
52,0.493376371,82.4,0.525437075,82.5,908.6904297
53,0.48825012,82.724,0.547271494,82.29,908.6904297
54,0.48013743,82.994,0.559675111,82.05,908.6904297
55,0.475447474,83.038,0.556381739,82.51,908.6904297
56,0.464386555,83.528,0.557154441,82.05,908.6904297
57,0.464257686,83.492,0.550386828,81.81,908.6904297
58,0.455586294,83.86,0.514414525,83.27,908.6904297
59,0.446013558,84.064,0.511158894,83.29,908.6904297
60,0.442885072,84.23,0.51469851,83.31,908.6904297
61,0.433753295,84.57,0.528611447,83.08,908.6904297
62,0.431735719,84.794,0.521873584,83.06,908.6904297
63,0.421102718,85.074,0.501336543,84.15,908.6904297
64,0.420221733,85.022,0.524574342,83.27,908.6904297
65,0.410167866,85.478,0.531717416,83.04,908.6904297
66,0.410703011,85.36,0.503247872,84.04,908.6904297
67,0.40077539,85.62,0.539414969,83.34,908.6904297
68,0.393362308,85.984,0.51862851,83.28,908.6904297
69,0.389637671,86.052,0.507462566,83.95,908.6904297
70,0.379374709,86.44,0.56465849,82.68,908.6904297
71,0.377841529,86.56,0.484193265,84.49,908.6904297
72,0.368207068,86.824,0.505501516,84.13,908.6904297
73,0.366369143,87.042,0.506201972,83.47,908.6904297
74,0.364982,87.046,0.530074469,83.53,908.6904297
75,0.360662179,87.204,0.495467079,84.34,908.6904297
76,0.354437733,87.266,0.490352628,84.76,908.6904297
77,0.349362603,87.388,0.512392643,84.13,908.6904297
78,0.344716493,87.64,0.493576936,84.74,908.6904297
79,0.341989628,87.876,0.522653419,84.18,908.6904297
80,0.332021881,88.254,0.495285536,84.7,908.6904297
81,0.326544694,88.304,0.499786708,84.96,908.6904297
82,0.3273025,88.342,0.491682708,84.71,908.6904297
83,0.321419504,88.524,0.507956339,85.15,908.6904297
84,0.317081764,88.674,0.501443963,84.86,908.6904297
85,0.311536701,88.74,0.500738293,84.88,908.6904297
86,0.307549063,88.928,0.472187909,85.77,908.6904297
87,0.30327484,89.226,0.522678343,84.98,908.6904297
88,0.297646208,89.41,0.526443908,84.78,908.6904297
89,0.293957323,89.264,0.508219274,85.21,908.6904297
90,0.294121433,89.586,0.498361532,85.1,908.6904297
91,0.286115201,89.834,0.481068302,86.03,908.6904297
92,0.281759506,89.866,0.513129054,85.29,908.6904297
93,0.280789229,89.832,0.490501323,85.52,908.6904297
94,0.27601638,90.24,0.510220949,85.36,908.6904297
95,0.266719291,90.446,0.505109908,85.9,908.6904297
96,0.268357289,90.38,0.490517948,85.55,908.6904297
97,0.262769852,90.516,0.508956826,85.51,908.6904297
98,0.259150548,90.812,0.475189596,86.25,908.6904297
99,0.257778019,90.798,0.500632383,85.7,908.6904297
100,0.250852234,90.914,0.518678595,85.98,908.6904297
101,0.248711874,91.064,0.520362991,85.6,908.6904297
102,0.240663454,91.282,0.506947809,85.94,908.6904297
