epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,1.689062255,38.284,1.375376626,50.73,730.3842773
1,1.392137076,49.672,1.223846354,55.77,730.3842773
2,1.266814589,54.092,1.15352867,58.97,730.3842773
3,1.193307855,57.098,1.139003479,59.31,730.3842773
4,1.1281448,59.644,1.031050228,63.75,730.3842773
5,1.083323405,60.876,0.991059733,64.72,730.3842773
6,1.035075326,63.082,0.972230768,65.58,730.3842773
7,0.992709688,64.47,0.946878922,67.61,730.3842773
8,0.957931365,65.728,0.935013879,66.94,730.3842773
9,0.925947084,67.074,0.890933488,68.88,730.3842773
10,0.902200234,67.87,0.873831756,69.35,730.3842773
11,0.866514207,69.32,0.831815434,71.55,730.3842773
12,0.842748684,69.942,0.834036544,71.15,730.3842773
13,0.821072568,70.862,0.823440772,71.66,730.3842773
14,0.802054383,71.65,0.795891876,72.05,730.3842773
15,0.7869913,72.134,0.782392404,72.96,730.3842773
16,0.767249477,72.636,0.767416577,73.06,730.3842773
17,0.75238215,73.254,0.755976574,74.09,730.3842773
18,0.736386375,73.814,0.770907894,72.95,730.3842773
19,0.724047111,74.306,0.779235843,73.36,730.3842773
20,0.716559087,74.568,0.739857944,74.26,730.3842773
21,0.69808236,75.058,0.707542061,75.67,730.3842773
22,0.68907061,75.53,0.699260837,75.87,730.3842773
23,0.681860409,75.952,0.716388734,75.19,730.3842773
24,0.67193888,76.132,0.688277858,76.35,730.3842773
25,0.663729405,76.482,0.683273704,76.28,730.3842773
26,0.651056165,76.704,0.66281142,77.04,730.3842773
27,0.643722644,77.178,0.728637953,75.12,730.3842773
28,0.638964811,77.328,0.669875539,77.08,730.3842773
29,0.631048206,77.612,0.642043594,78.38,730.3842773
30,0.620319241,78.046,0.688324372,76.8,730.3842773
31,0.614674385,78.286,0.652562451,77.49,730.3842773
32,0.603542066,78.506,0.637423539,78.38,730.3842773
33,0.600051173,78.694,0.654738547,77.36,730.3842773
34,0.589247452,79.162,0.665737676,77.35,730.3842773
35,0.581355547,79.526,0.65061565,78.1,730.3842773
36,0.569147851,79.796,0.610571392,79.25,730.3842773
37,0.567645914,79.778,0.628290083,78.49,730.3842773
38,0.562672902,80.046,0.650664499,78.15,730.3842773
39,0.549538706,80.626,0.635770807,78.64,730.3842773
40,0.536520336,80.872,0.605258918,79.58,730.3842773
41,0.532813885,81.052,0.618676524,79.29,730.3842773
42,0.524589351,81.556,0.594863269,80.28,730.3842773
43,0.514469713,81.788,0.59743078,79.9,730.3842773
44,0.505335505,81.922,0.611379916,79.39,730.3842773
45,0.505162715,81.992,0.560247512,80.98,730.3842773
46,0.486555803,82.714,0.587476216,80.46,730.3842773
47,0.484280333,82.7,0.567289622,81.01,730.3842773
48,0.481817502,82.908,0.578229771,80.38,730.3842773
49,0.464578473,83.342,0.564654889,81.27,730.3842773
50,0.456799421,83.766,0.557626913,81.65,730.3842773
51,0.451684884,83.944,0.571021899,80.9,730.3842773
52,0.442040695,84.33,0.585712,80.63,730.3842773
53,0.430764155,84.564,0.566904511,81.2,730.3842773
54,0.429113311,84.862,0.53894328,81.83,730.3842773
55,0.420849282,84.912,0.54028176,81.7,730.3842773
56,0.409941693,85.4,0.561487308,81.74,730.3842773
57,0.407278497,85.534,0.540024474,81.66,730.3842773
58,0.394993627,85.76,0.547187537,82.03,730.3842773
59,0.388714282,86.18,0.535532595,82.58,730.3842773
60,0.382954049,86.2,0.545437068,81.68,730.3842773
61,0.370904385,86.644,0.550632883,82.21,730.3842773
62,0.365089964,86.816,0.540593533,82.51,730.3842773
63,0.355466344,87.172,0.540261321,82.44,730.3842773
64,0.354896716,87.3,0.527309803,82.72,730.3842773
65,0.350055068,87.528,0.53620184,82.95,730.3842773
66,0.339911382,87.696,0.534909651,83.05,730.3842773
67,0.33071048,88.036,0.551675687,82.86,730.3842773
68,0.329440497,88.106,0.516999408,83.72,730.3842773
69,0.32068057,88.458,0.539920552,83.42,730.3842773
70,0.310439054,88.67,0.545919065,83.35,730.3842773
71,0.309804209,89.032,0.536054632,83.38,730.3842773
72,0.301016671,89.224,0.550021577,83.07,730.3842773
73,0.29644676,89.092,0.53118973,83.66,730.3842773
74,0.291749653,89.53,0.547160707,83.22,730.3842773
75,0.287333998,89.632,0.513414043,84.45,730.3842773
76,0.280270348,89.802,0.508749576,84.46,730.3842773
77,0.272977414,90.19,0.522650921,84.07,730.3842773
78,0.267257434,90.234,0.545961254,84.09,730.3842773
79,0.263419809,90.562,0.534157438,83.95,730.3842773
80,0.257277051,90.83,0.536347654,84.24,730.3842773
81,0.254916617,90.762,0.529386249,84.25,730.3842773
82,0.245043489,91.178,0.533942323,84.41,730.3842773
83,0.239318004,91.334,0.558208192,83.74,730.3842773
84,0.232600995,91.608,0.527791166,84.24,730.3842773
85,0.230523228,91.762,0.521125906,84.78,730.3842773
86,0.228269107,91.562,0.565165907,83.71,730.3842773
87,0.225833525,91.968,0.550685292,83.6,730.3842773
88,0.21944442,92.066,0.532506819,84.68,730.3842773
89,0.214550276,92.254,0.537659318,85.03,730.3842773
90,0.214095798,92.282,0.554550507,84.14,730.3842773
