epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,1.698695997,37.624,1.410460474,49.67,1507.996094
1,1.374709142,50.62,1.229320847,55.61,1507.996094
2,1.245459047,55.106,1.124760923,59.78,1507.996094
3,1.163973056,58.27,1.05970993,62.28,1507.996094
4,1.102143391,60.55,1.042625794,63.46,1507.996094
5,1.048508997,62.472,1.03760352,63.13,1507.996094
6,0.996407193,64.418,0.958485668,65.99,1507.996094
7,0.957886472,65.702,0.908620807,67.79,1507.996094
8,0.920460119,67.122,0.879707021,68.87,1507.996094
9,0.893144035,68.23,0.88056867,68.97,1507.996094
10,0.86473289,69.254,0.834781445,70.74,1507.996094
11,0.825735064,70.416,0.842171304,71.16,1507.996094
12,0.811247349,70.958,0.823735291,71.24,1507.996094
13,0.791709681,71.714,0.815347306,71.25,1507.996094
14,0.768106889,72.794,0.769512641,73.44,1507.996094
15,0.740519007,73.798,0.784972336,72.96,1507.996094
16,0.731024752,73.872,0.718277533,75.05,1507.996094
17,0.711419157,74.714,0.741995119,74.32,1507.996094
18,0.695612395,75.21,0.744738105,74.03,1507.996094
19,0.671515574,76.03,0.68458711,76.45,1507.996094
20,0.660488475,76.518,0.712806748,75.34,1507.996094
21,0.641764047,77.318,0.685559592,76.66,1507.996094
22,0.630573379,77.554,0.666413081,76.85,1507.996094
23,0.616064959,78.152,0.653787365,77.34,1507.996094
24,0.60675885,78.49,0.666269248,77.13,1507.996094
25,0.597011633,78.844,0.659735903,77.44,1507.996094
26,0.581737424,79.58,0.651767736,77.92,1507.996094
27,0.566838418,79.738,0.62277933,78.74,1507.996094
28,0.553270754,80.148,0.605648239,79.31,1507.996094
29,0.543437763,80.75,0.636747319,78.32,1507.996094
30,0.538259336,80.73,0.629072814,78.76,1507.996094
31,0.524375024,81.284,0.649021262,78.2,1507.996094
32,0.513787879,81.768,0.594076313,79.72,1507.996094
33,0.507527509,81.8,0.579318735,79.84,1507.996094
34,0.489857602,82.558,0.594582711,79.55,1507.996094
35,0.481167981,82.668,0.588077883,79.94,1507.996094
36,0.46984911,83.238,0.580326683,80.44,1507.996094
37,0.458124978,83.618,0.577285968,80.78,1507.996094
38,0.450856954,84.024,0.56974957,81.26,1507.996094
39,0.443492283,84.156,0.565070453,80.82,1507.996094
40,0.427491763,84.586,0.559127027,81.62,1507.996094
41,0.423172462,84.694,0.561737026,81.34,1507.996094
42,0.409666901,85.332,0.585631489,81.08,1507.996094
43,0.404441115,85.546,0.558160624,81.67,1507.996094
44,0.396434889,85.954,0.561123801,81.94,1507.996094
45,0.384400787,86.29,0.5524329,82.02,1507.996094
46,0.376834429,86.558,0.539551831,82.74,1507.996094
47,0.370160459,86.754,0.539937014,82.55,1507.996094
48,0.353156443,87.294,0.55676787,82.41,1507.996094
49,0.353576782,87.37,0.534703886,82.81,1507.996094
50,0.336557659,87.97,0.561049794,82.92,1507.996094
51,0.326411984,88.19,0.56371838,82.69,1507.996094
52,0.324973343,88.41,0.551043182,82.51,1507.996094
53,0.316107843,88.61,0.554176873,82.71,1507.996094
54,0.302950028,89.064,0.559619574,82.64,1507.996094
55,0.298441743,89.278,0.56114754,82.4,1507.996094
56,0.291273738,89.462,0.532626873,83.32,1507.996094
57,0.27998052,89.898,0.548129547,83.26,1507.996094
