epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,0.467336793,84.36666667,0.169961519,94.72,1258.092773
1,0.172399652,94.58166667,0.138892338,95.64,1258.092773
2,0.126733942,96.03166667,0.103584582,96.58,1258.092773
3,0.102982446,96.805,0.095382459,97,1258.092773
4,0.087129374,97.26,0.092771608,97.06,1258.092773
5,0.076713986,97.60666667,0.084828355,97.42,1258.092773
6,0.066063148,97.90666667,0.095283639,97.3,1258.092773
7,0.061556835,98.035,0.091006797,97.23,1258.092773
8,0.051157596,98.35166667,0.073554821,97.82,1258.092773
9,0.047559861,98.42333333,0.085243834,97.6,1258.092773
10,0.043028092,98.55833333,0.081798949,97.74,1258.092773
11,0.038476281,98.78333333,0.068594987,97.88,1258.092773
12,0.036258425,98.78,0.082484002,97.73,1258.092773
13,0.031630363,98.945,0.068271581,97.99,1258.092773
14,0.030468778,98.975,0.092762018,97.47,1258.092773
15,0.025825721,99.15833333,0.07739784,97.9,1258.092773
16,0.025068008,99.19166667,0.080794452,97.77,1258.092773
17,0.01993964,99.35333333,0.073604782,97.95,1258.092773
18,0.018931539,99.39833333,0.078838151,97.97,1258.092773
19,0.020740698,99.315,0.08077695,97.82,1258.092773
20,0.016068486,99.47166667,0.08506934,97.92,1258.092773
21,0.013903097,99.53,0.083515343,97.76,1258.092773
22,0.012051267,99.605,0.068857634,98.17,1258.092773
23,0.010753319,99.64166667,0.081683758,98.01,1258.092773
24,0.011159982,99.63666667,0.076594998,98.1,1258.092773
25,0.009677724,99.7,0.070268706,98.14,1258.092773
26,0.010542051,99.65666667,0.078687047,98.08,1258.092773
27,0.008317711,99.725,0.069156549,98.3,1258.092773
28,0.007984651,99.74666667,0.07762169,98.17,1258.092773
29,0.004818596,99.85166667,0.076768378,98.23,1258.092773
30,0.003830343,99.875,0.078600095,98.34,1258.092773
31,0.004034316,99.87666667,0.075384638,98.31,1258.092773
32,0.004532532,99.86666667,0.076459939,98.18,1258.092773
33,0.00413212,99.87,0.076570204,98.21,1258.092773
34,0.002782457,99.92166667,0.074731619,98.32,1258.092773
35,0.002305653,99.93333333,0.074570226,98.34,1258.092773
36,0.001664024,99.95333333,0.070270564,98.4,1258.092773
37,0.001514111,99.95666667,0.069711671,98.45,1258.092773
38,0.001220047,99.97833333,0.07115565,98.4,1258.092773
39,0.000902968,99.98333333,0.078027576,98.29,1258.092773
40,0.000732348,99.99333333,0.073845688,98.35,1258.092773
41,0.000698321,99.98833333,0.075415737,98.51,1258.092773
42,0.000750276,99.98333333,0.077579961,98.42,1258.092773
43,0.000557074,99.995,0.076367833,98.44,1258.092773
44,0.000522579,99.99166667,0.074644487,98.57,1258.092773
45,0.000443823,99.99666667,0.075544426,98.55,1258.092773
46,0.000467251,99.99166667,0.072014402,98.57,1258.092773
47,0.000366542,99.99666667,0.072725665,98.56,1258.092773
48,0.000458235,99.99333333,0.0737281,98.57,1258.092773
49,0.000397059,99.99333333,0.073887268,98.55,1258.092773
,,,,,
Best accuracy: 98.5700,,,,,
Max memory usage: 1258.09 MiB,,,,,
Total memory usage: 62904.64 MiB,,,,,
vit_small,,,,,
