epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
0,0.45673442,84.89333333,0.202227044,93.73,491.6889648
1,0.184255945,94.06333333,0.159903658,94.89,491.6889648
2,0.133894015,95.80333333,0.113715823,96.49,491.6889648
3,0.112744733,96.44,0.120520993,96.33,491.6889648
4,0.096286945,96.97333333,0.097716778,97,491.6889648
5,0.089576508,97.13166667,0.10917054,96.75,491.6889648
6,0.075944854,97.60166667,0.081555612,97.41,491.6889648
7,0.067766437,97.81833333,0.095775509,97.12,491.6889648
8,0.05982374,98.07333333,0.088778708,97.31,491.6889648
9,0.053236858,98.28166667,0.09035731,97.41,491.6889648
10,0.052048129,98.29166667,0.089470203,97.3,491.6889648
11,0.047134297,98.51166667,0.081232981,97.7,491.6889648
12,0.0422271,98.61333333,0.082161099,97.64,491.6889648
13,0.037968764,98.77666667,0.085259465,97.45,491.6889648
14,0.035224128,98.84166667,0.089454126,97.45,491.6889648
15,0.034031701,98.895,0.079792409,97.82,491.6889648
16,0.03139565,98.93166667,0.078515051,97.9,491.6889648
17,0.024134638,99.24833333,0.07464243,97.93,491.6889648
18,0.025855435,99.115,0.073003948,98.01,491.6889648
19,0.021628283,99.31333333,0.083866782,97.67,491.6889648
20,0.019605455,99.29333333,0.07358249,97.93,491.6889648
21,0.020236772,99.31833333,0.095213934,97.56,491.6889648
22,0.016297469,99.45,0.088809478,97.83,491.6889648
23,0.016571946,99.425,0.088482085,97.74,491.6889648
24,0.015218188,99.49,0.083805572,97.95,491.6889648
25,0.010148084,99.64166667,0.076522706,98.07,491.6889648
26,0.011264768,99.59166667,0.091655215,97.71,491.6889648
27,0.01074771,99.62333333,0.08116715,98.05,491.6889648
28,0.008289344,99.755,0.090277734,97.94,491.6889648
29,0.00723372,99.76666667,0.09163655,97.98,491.6889648
30,0.005735277,99.82666667,0.07866101,98.2,491.6889648
31,0.004826103,99.865,0.080479831,98.09,491.6889648
32,0.004634709,99.85666667,0.082631292,98.11,491.6889648
33,0.005178494,99.845,0.085792086,98.19,491.6889648
34,0.003624472,99.88,0.079523769,98.29,491.6889648
35,0.003141704,99.90333333,0.087058518,98.2,491.6889648
36,0.002962518,99.90833333,0.080251868,98.31,491.6889648
37,0.002195388,99.94,0.088200304,98.14,491.6889648
38,0.001847011,99.95833333,0.082731016,98.29,491.6889648
39,0.001432778,99.97166667,0.081726898,98.29,491.6889648
40,0.00134119,99.96,0.080741011,98.35,491.6889648
41,0.001322739,99.97,0.081554649,98.31,491.6889648
42,0.001182198,99.97333333,0.086795911,98.28,491.6889648
43,0.001069469,99.98,0.084907044,98.34,491.6889648
44,0.000774977,99.99,0.082739686,98.31,491.6889648
45,0.00095457,99.975,0.081835928,98.38,491.6889648
46,0.000837341,99.97833333,0.080335994,98.38,491.6889648
47,0.000572141,99.99333333,0.083136082,98.33,491.6889648
48,0.0006001,99.99,0.082382586,98.35,491.6889648
49,0.000650215,99.99,0.082839988,98.38,491.6889648
,,,,,
Best accuracy: 98.3800,,,,,
Max memory usage: 491.69 MiB,,,,,
Total memory usage: 24584.45 MiB,,,,,
vit_reverse,,,,,
